protein	Disease	id	nsnp	fdr	Ncase	Ncontrol	Ntotal	bxy	se	pqtl	p	qtl	b_qtl	se_qtl	p_qtl	chr
SLAMF1	Multiple sclerosis	ieu-b-18	2	0.914104689578714	47429	68374	115803	0.0468239	0.142582	rs60094514	0.74261	rs3737798	-0.0871864	0.0165588	1.40001e-07	1
CST5	Eczema	ieu-a-996	62	0.919525960264901	10788	30047	40835	-0.00875155	0.0273718	rs4815244	0.749174	rs34703171	-0.0699505	0.0195186	0.000340997	20
uPA	COVID-19 hospitalisation	GCST90134602	5	0.919525960264901	14480	73191	87671	-0.0258538	0.0813174	rs55744193	0.750532	rs142665465	0.7499	0.20072	0.00018694	10
FGF-21	Gout	ebi-a-GCST001790	3	0.923142257709251	2115	67259	69374	-0.0948458	0.30413	rs838131	0.755147	rs12608779	0.71	0.2	0.000599667	19
TRAIL	Sepsis	ieu-b-69	6	0.924695868131868	10154	454764	464918	-0.0222479	0.0722341	rs574044675	0.758084	rs13085184	0.276782	0.0751751	0.00012	3
CCL23	Inflammatory bowel disease	ebi-a-GCST004131	25	0.928584818763326	25042	34915	59957	-0.00713602	0.0242077	rs712048	0.768159	rs180715914	-0.636	0.1592	6.44496e-05	17
CD6	Eczema	ieu-a-996	49	0.928584818763326	10788	30047	40835	-0.00703033	0.0257328	rs2074227	0.784696	rs7943728	0.11328	0.0252862	7.57007e-06	11
CST5	Multiple sclerosis	ieu-b-18	30	0.928584818763326	47429	68374	115803	-0.00832745	0.0284941	rs4815244	0.770094	rs3887942	-0.0882849	0.0273114	0.00122699	20
CXCL10	Type 1 diabetes	GCST90014023	11	0.928584818763326	18942	501638	520580	-0.0117296	0.0398533	rs11548618	0.768513	rs28555631	0.338507	0.077582	1.28e-05	4
FGF-21	Primary sclerosing cholangitis	ieu-a-1112	2	0.928584818763326	2871	12019	14890	-0.0743579	0.249103	rs838131	0.76532	rs492602	0.135405	0.03	3.71595e-06	19
FGF-5	Ulcerative colitis	ebi-a-GCST004133	33	0.928584818763326	12366	33609	45975	0.00839976	0.0295782	rs12509595	0.776422	rs34428222	0.2356	0.0588	6.08597e-05	4
FGF-5	Type 1 diabetes	GCST90014023	37	0.928584818763326	18942	501638	520580	0.00745231	0.0272396	rs12509595	0.784405	rs573146514	56.069065	12.075183	3.43e-06	4
HGF	Type 1 diabetes	GCST90014023	3	0.928584818763326	18942	501638	520580	0.0304001	0.106247	rs5745687	0.77478	rs550933268	74.022346	18.97629	9.59e-05	7
IL-18	Sepsis	ieu-b-69	10	0.928584818763326	10154	454764	464918	-0.0177939	0.0643003	rs5744249	0.781987	rs141549504	-0.226156	0.0642451	0.000580003	11
MCP-2	Ulcerative colitis	ebi-a-GCST004133	41	0.928584818763326	12366	33609	45975	0.00561142	0.0197319	rs1133763	0.776117	rs41338755	-0.1613	0.045	0.000335297	17
MMP-1	Inflammatory bowel disease	ebi-a-GCST004131	44	0.928584818763326	25042	34915	59957	0.00621647	0.0224528	rs471994	0.781881	rs192070159	0.276	0.0701	8.16394e-05	11
OPG	Ulcerative colitis	ebi-a-GCST004133	7	0.928584818763326	12366	33609	45975	-0.0253509	0.0902236	rs2247769	0.778727	rs2465383	0.0575	0.0163	0.0004018	8
PD-L1	COVID-19 hospitalisation	GCST90134602	6	0.928584818763326	14480	73191	87671	-0.0252288	0.089155	rs822335	0.777194	rs751057845	1.0804	0.3463	0.0018105	9
VEGF_A	Sepsis	ieu-b-69	18	0.928584818763326	10154	454764	464918	0.00859042	0.0311253	rs6921438	0.782552	rs189048171	0.620571	0.169047	0.00012	6
CDCP1	Sepsis	ieu-b-69	11	0.929609681528662	10154	454764	464918	-0.0127044	0.0471023	rs2276862	0.787376	rs145561424	0.362413	0.113925	0.000819993	3
TNFRSF9	Sepsis	ieu-b-69	5	0.929609681528662	10154	454764	464918	-0.0229847	0.0858524	rs1776354	0.788912	rs58905635	0.0587896	0.0190725	0.0012	1
IL-18	Primary sclerosing cholangitis	ieu-a-1112	3	0.937284470338983	2871	12019	14890	-0.0415526	0.16163	rs5744249	0.797114	rs12363179	0.124869	0.033	0.000129092	11
CST5	Gout	ebi-a-GCST001790	20	0.941458768421053	2115	67259	69374	-0.0139173	0.0556272	rs4815244	0.802442	rs6036868	0.23	0.07	0.00110882	20
TNFSF14	Systemic lupus erythematosus	ebi-a-GCST003156	8	0.941458768421053	5201	9066	14267	0.0253544	0.103105	rs344562	0.805753	rs36145952	0.277632	0.0652305	2.07965e-05	19
VEGF_A	Ulcerative colitis	ebi-a-GCST004133	17	0.941458768421053	12366	33609	45975	-0.00892197	0.0360214	rs6921438	0.804378	rs57266556	0.1026	0.0224	4.56499e-06	6
CX3CL1	Sepsis	ieu-b-69	17	0.94146846875	10154	454764	464918	0.0127289	0.0522669	rs671623	0.80759	rs780913523	-0.132774	0.0310706	1.2e-05	16
DNER	Eczema	ieu-a-996	13	0.94146846875	10788	30047	40835	-0.0141657	0.0602907	rs62193248	0.814243	rs138878978	-1.22901	0.335157	0.000247002	2
IL-12B	COVID-19 hospitalisation	GCST90134602	32	0.94146846875	14480	73191	87671	-0.00787003	0.0326101	rs10076557	0.809294	rs10078678	-0.049319	0.015719	0.0017037	5
IL-18	Gout	ebi-a-GCST001790	3	0.94146846875	2115	67259	69374	-0.0432668	0.181654	rs5744249	0.811739	rs12421376	0.3	0.096	0.00244394	11
MCP-3	Asthma	ebi-a-GCST005212	3	0.94146846875	19954	107715	127669	0.0229268	0.0971094	rs7213460	0.813361	rs17782835	0.0880975	0.0302466	0.00358377	17
CXCL6	Ulcerative colitis	ebi-a-GCST004133	27	0.954100384615385	12366	33609	45975	0.00714854	0.0326872	rs16850073	0.826887	rs425535	0.133	0.0257	2.21799e-07	4
VEGF_A	Inflammatory bowel disease	ebi-a-GCST004131	17	0.954693267634855	25042	34915	59957	-0.00610974	0.0283083	rs6921438	0.829121	rs639728	0.0583	0.0129	5.80805e-06	6
TNFSF14	Gout	ebi-a-GCST001790	5	0.956851024844721	2115	67259	69374	0.0282733	0.13386	rs344562	0.832719	rs7251963	-0.11	0.032	0.00095067	19
ADA	COVID-19 hospitalisation	GCST90134602	28	0.958856501014199	14480	73191	87671	0.00561545	0.0275314	rs11555566	0.838381	rs11541733	-0.32957	0.092106	0.000346	20
CD6	Rheumatoid arthritis	ieu-a-833	24	0.958856501014199	19234	61565	80799	-0.00421263	0.0220915	rs2074227	0.848768	rs968567	-0.105361	0.0197415	7.29995e-07	11
CST5	Primary sclerosing cholangitis	ieu-a-1112	34	0.958856501014199	2871	12019	14890	-0.00961612	0.0497751	rs4815244	0.846809	rs6138371	-0.128393	0.035	0.000195061	20
CXCL11	Gout	ebi-a-GCST001790	7	0.958856501014199	2115	67259	69374	0.0278179	0.147937	rs6827617	0.850846	rs17001925	2.6	0.77	0.000841628	4
CXCL1	Systemic lupus erythematosus	ebi-a-GCST003156	6	0.958856501014199	5201	9066	14267	0.0175876	0.0855039	rs1366949	0.83703	rs7670454	0.116534	0.0302883	0.000119336	4
DNER	Crohn's disease	ebi-a-GCST004132	14	0.958856501014199	12194	28072	40266	-0.0109666	0.0551389	rs62193248	0.842348	rs7563433	0.1525	0.02	2.14388e-14	2
DNER	Sepsis	ieu-b-69	18	0.958856501014199	10154	454764	464918	0.00879216	0.0470427	rs62193248	0.851741	rs539194735	0.570859	0.132492	2e-05	2
IL-18R1	IgA nephropathy	ieu-a-1081	16	0.958856501014199	977	4980	5957	0.0197452	0.103971	rs2270297	0.84938	rs956966	-0.215671	0.0811758	0.00788769	2
IL-18R1	Rheumatoid arthritis	ieu-a-833	40	0.958856501014199	19234	61565	80799	0.00280212	0.0149564	rs2270297	0.851384	rs13388616	0.0582689	0.0167733	0.00012	2
MCP-3	COVID-19 hospitalisation	GCST90134602	3	0.958856501014199	14480	73191	87671	-0.0235093	0.120216	rs7213460	0.844956	rs75228377	0.65033	0.16656	9.4408e-05	17
MMP-10	Ulcerative colitis	ebi-a-GCST004133	40	0.959072515151515	12366	33609	45975	0.00580397	0.031511	rs17860955	0.853866	rs184428091	-0.4941	0.136	0.000279801	11
MMP-1	COVID-19 hospitalisation	GCST90134602	51	0.959072515151515	14480	73191	87671	0.00499857	0.0274274	rs471994	0.855389	rs142677811	-0.21709	0.057066	0.00014231	11
MCP-4	Eczema	ieu-a-996	11	0.960681502016129	10788	30047	40835	-0.0111168	0.0623792	rs3136676	0.858555	rs189667054	0.98207	0.23843	3.84999e-05	17
uPA	Ulcerative colitis	ebi-a-GCST004133	5	0.963286810865191	12366	33609	45975	0.0151553	0.0875818	rs55744193	0.862619	rs185928437	-0.4179	0.1328	0.00165101	10
MCP-4	Sepsis	ieu-b-69	11	0.964250090361446	10154	454764	464918	-0.00786811	0.0463553	rs3136676	0.865219	rs142042679	0.264742	0.0780907	0.0012	17
uPA	Sepsis	ieu-b-69	5	0.965415270541082	10154	454764	464918	0.0123873	0.0745354	rs55744193	0.868004	rs12356033	-0.140032	0.0433919	0.00064	10
CCL23	Ulcerative colitis	ebi-a-GCST004133	25	0.968334311377245	12366	33609	45975	0.00497721	0.0311749	rs712048	0.873153	rs147721468	-0.0563	0.0158	0.000370399	17
CXCL5	COVID-19 hospitalisation	GCST90134602	14	0.968334311377245	14480	73191	87671	-0.00647531	0.0408716	rs450373	0.874118	rs561713373	1.0466	0.29902	0.00046518	4
MMP-10	IgA nephropathy	ieu-a-1081	13	0.96921905378486	977	4980	5957	-0.041482	0.26728	rs17860955	0.876663	rs6590919	0.273142	0.112103	0.0148293	11
CXCL6	Multiple sclerosis	ieu-b-18	15	0.97064875	47429	68374	115803	0.00570641	0.0382657	rs16850073	0.881454	rs9993695	-0.14436	0.0478472	0.002552	4
TWEAK	Inflammatory bowel disease	ebi-a-GCST004131	5	0.97064875	25042	34915	59957	-0.00879086	0.0581608	rs34790908	0.879859	rs140313246	-0.1358	0.0266	3.26197e-07	17
CASP-8	Systemic lupus erythematosus	ebi-a-GCST003156	3	0.979483408644401	5201	9066	14267	-0.0273766	0.214028	rs56328050	0.898219	rs2953278	-0.307485	0.0889446	0.000546148	2
CST5	COVID-19 hospitalisation	GCST90134602	62	0.979483408644401	14480	73191	87671	0.00330919	0.0255709	rs4815244	0.897032	rs568482176	-0.4463	0.11513	0.00010596	20
CXCL10	Asthma	ebi-a-GCST005212	3	0.979483408644401	19954	107715	127669	0.0131297	0.10273	rs11548618	0.898301	rs4859943	0.0452847	0.0140914	0.0013106	4
LAP TGF-beta-1	Multiple sclerosis	ieu-b-18	4	0.979483408644401	47429	68374	115803	0.0134677	0.101926	rs1800472	0.894879	rs3745213	0.0969515	0.0244519	7.34007e-05	19
MCP-2	Crohn's disease	ebi-a-GCST004132	37	0.979483408644401	12194	28072	40266	-0.00264985	0.0193854	rs1133763	0.891273	rs3091315	-0.1579	0.0182	3.75837e-18	17
CD5	Inflammatory bowel disease	ebi-a-GCST004131	6	0.987270640776699	25042	34915	59957	-0.00708554	0.0631143	rs674379	0.910613	rs11230563	-0.0621	0.0131	1.95398e-06	11
CD5	IgA nephropathy	ieu-a-1081	3	0.987270640776699	977	4980	5957	0.0606281	0.541781	rs674379	0.910899	rs10792263	0.185564	0.0858705	0.0306973	11
CXCL5	Primary sclerosing cholangitis	ieu-a-1112	6	0.987270640776699	2871	12019	14890	0.00928706	0.0881731	rs450373	0.916116	rs79129704	0.286682	0.091	0.00100624	4
CXCL6	Eczema	ieu-a-996	27	0.987270640776699	10788	30047	40835	-0.00390685	0.0369458	rs16850073	0.915784	rs145827745	1.17573	0.330519	0.000376999	4
MCP-4	Gout	ebi-a-GCST001790	9	0.987270640776699	2115	67259	69374	0.0132096	0.123026	rs3136676	0.914494	rs317364	-0.32	0.092	0.000669222	17
MIP-1 alpha	Asthma	ebi-a-GCST005212	9	0.987270640776699	19954	107715	127669	-0.00371909	0.0339713	rs8951	0.912824	rs2291189	0.0677515	0.0248883	0.00648455	17
ADA	Systemic lupus erythematosus	ebi-a-GCST003156	16	0.990764009433962	5201	9066	14267	-0.00363776	0.0449842	rs11555566	0.935547	rs73124654	-0.235722	0.0709891	0.000898421	20
CCL25	Multiple sclerosis	ieu-b-18	31	0.990764009433962	47429	68374	115803	0.00221652	0.0231442	rs2032887	0.923703	rs6603074	-0.159347	0.0428379	0.000199402	19
CD244	Ulcerative colitis	ebi-a-GCST004133	8	0.990764009433962	12366	33609	45975	0.00448432	0.0609422	rs11265493	0.941342	rs6658353	-0.1569	0.016	1.16788e-22	1
CD40	Asthma	ebi-a-GCST005212	12	0.990764009433962	19954	107715	127669	-0.00203011	0.0295338	rs1883832	0.945198	rs1206760	-0.0467883	0.0122248	0.0001295	20
CD40	Eczema	ieu-a-996	22	0.990764009433962	10788	30047	40835	0.00303286	0.0421995	rs1883832	0.942706	rs73112886	0.190787	0.0468127	4.64002e-05	20
CD5	Eczema	ieu-a-996	5	0.990764009433962	10788	30047	40835	-0.00656668	0.0971957	rs674379	0.946135	rs7943728	0.11328	0.0252862	7.57007e-06	11
CD6	IgA nephropathy	ieu-a-1081	10	0.990764009433962	977	4980	5957	0.00945451	0.128519	rs2074227	0.941356	rs2276044	0.211079	0.0848034	0.0128091	11
CXCL11	Primary sclerosing cholangitis	ieu-a-1112	9	0.990764009433962	2871	12019	14890	0.00855996	0.126229	rs6827617	0.945934	rs111467309	0.381172	0.12	0.000741071	4
DNER	Gout	ebi-a-GCST001790	11	0.990764009433962	2115	67259	69374	0.00925466	0.121087	rs62193248	0.939077	rs7603326	0.16	0.043	0.000277306	2
FGF-5	Eczema	ieu-a-996	29	0.990764009433962	10788	30047	40835	0.00221794	0.0318533	rs12509595	0.944488	rs6831124	1.31217	0.379303	0.000545004	4
IL10RB	Asthma	ebi-a-GCST005212	10	0.990764009433962	19954	107715	127669	-0.00244705	0.0290212	rs2266590	0.932803	rs11088218	0.0548374	0.0159269	0.000575096	21
MMP-1	Primary sclerosing cholangitis	ieu-a-1112	35	0.990764009433962	2871	12019	14890	-0.00543386	0.0632944	rs471994	0.931585	rs138362837	0.484276	0.141	0.000246212	11
SLAMF1	Sepsis	ieu-b-69	6	0.990764009433962	10154	454764	464918	-0.00541991	0.0656949	rs60094514	0.934248	rs12093699	-0.047529	0.0154045	0.00140001	1
ST1A1	COVID-19 hospitalisation	GCST90134602	12	0.990764009433962	14480	73191	87671	0.00368195	0.0542755	rs149278	0.945914	rs188160829	0.42879	0.11243	0.00013686	16
TNFSF14	COVID-19 hospitalisation	GCST90134602	9	0.990764009433962	14480	73191	87671	-0.00505534	0.0519993	rs344562	0.922552	rs45529138	0.44824	0.12453	0.00031888	19
ADA	Primary sclerosing cholangitis	ieu-a-1112	9	0.996099186471664	2871	12019	14890	0.00277884	0.0612648	rs11555566	0.963822	rs140971367	0.304539	0.096	0.000854732	20
CCL23	Primary sclerosing cholangitis	ieu-a-1112	14	0.996099186471664	2871	12019	14890	-0.00150546	0.059759	rs712048	0.979902	rs117619352	0.563608	0.161	0.000163459	17
CCL25	Type 1 diabetes	GCST90014023	58	0.996099186471664	18942	501638	520580	-0.000534545	0.0195415	rs2032887	0.978177	rs536738333	11.432832	2.523563	5.89e-06	19
CCL25	IgA nephropathy	ieu-a-1081	9	0.996099186471664	977	4980	5957	-0.00425588	0.113505	rs2032887	0.97009	rs2241591	0.351133	0.11498	0.00225912	19
CD40	Type 1 diabetes	GCST90014023	27	0.996099186471664	18942	501638	520580	0.00183645	0.0313302	rs1883832	0.953258	rs144039917	0.315411	0.081337	0.000105	20
CSF-1	Primary sclerosing cholangitis	ieu-a-1112	3	0.996099186471664	2871	12019	14890	-0.00456095	0.173341	rs17610659	0.979008	rs114032197	0.381855	0.109	0.000206752	1
CSF-1	Rheumatoid arthritis	ieu-a-833	5	0.996099186471664	19234	61565	80799	0.0034618	0.0747376	rs17610659	0.963056	rs61785488	-0.0861777	0.027857	0.0012	1
CXCL10	COVID-19 hospitalisation	GCST90134602	10	0.996099186471664	14480	73191	87671	0.00102468	0.0447737	rs11548618	0.981741	rs543111380	0.91053	0.23615	0.00011536	4
CXCL11	Systemic lupus erythematosus	ebi-a-GCST003156	10	0.996099186471664	5201	9066	14267	0.00265244	0.0936538	rs6827617	0.977406	rs72647441	0.173953	0.0496826	0.00046301	4
DNER	IgA nephropathy	ieu-a-1081	10	0.996099186471664	977	4980	5957	-0.0107153	0.30548	rs62193248	0.972018	rs4973246	0.236173	0.0847042	0.00529993	2
FGF-5	Inflammatory bowel disease	ebi-a-GCST004131	34	0.996099186471664	25042	34915	59957	0.000829182	0.0231354	rs12509595	0.97141	rs6828528	-0.0986	0.027	0.000263403	4
HGF	Ulcerative colitis	ebi-a-GCST004133	3	0.996099186471664	12366	33609	45975	-0.00281724	0.114672	rs5745687	0.9804	rs144101315	0.2358	0.0642	0.000237197	7
MCP-4	Rheumatoid arthritis	ieu-a-833	9	0.996099186471664	19234	61565	80799	0.0014106	0.0485546	rs3136676	0.976823	rs34928624	0.0582689	0.0192621	0.00109999	17
MMP-10	Sepsis	ieu-b-69	41	0.996099186471664	10154	454764	464918	0.00104578	0.0255772	rs17860955	0.967386	rs376963184	-0.0655973	0.0203252	0.000470002	11
MMP-1	Ulcerative colitis	ebi-a-GCST004133	45	0.996099186471664	12366	33609	45975	-0.00100762	0.0286268	rs471994	0.971921	rs184428091	-0.4941	0.136	0.000279801	11
TNFRSF9	Primary sclerosing cholangitis	ieu-a-1112	3	0.996099186471664	2871	12019	14890	0.0093644	0.198255	rs1776354	0.962327	rs1725242	-0.144966	0.043	0.000503605	1
VEGF_A	Crohn's disease	ebi-a-GCST004132	16	0.996099186471664	12194	28072	40266	0.00175701	0.0364399	rs6921438	0.961544	rs1044690	-0.0958	0.0194	7.41396e-07	6
ADA	Asthma	ebi-a-GCST005212	10	0.999626	19954	107715	127669	-0.000172512	0.025419	rs11555566	0.994585	rs1883682	-0.049225	0.0160895	0.00221738	20
CCL25	Eczema	ieu-a-996	54	0.999626	10788	30047	40835	-0.000203525	0.024605	rs2032887	0.9934	rs2918299	0.142564	0.0229551	5.45004e-10	19
CXCL6	Type 1 diabetes	GCST90014023	31	0.999626	18942	501638	520580	9.91634e-05	0.0288858	rs16850073	0.997261	rs557315099	2.492215	0.578558	1.65e-05	4
IL-12B	Gout	ebi-a-GCST001790	14	0.999626	2115	67259	69374	0.000230873	0.0712848	rs10076557	0.997416	rs7722070	0.1	0.036	0.00387097	5
IL-15RA	Systemic lupus erythematosus	ebi-a-GCST003156	17	0.999626	5201	9066	14267	0.000532662	0.0639305	rs2228059	0.993352	rs9423596	-0.113329	0.0310903	0.000267239	10
MCP-3	Eczema	ieu-a-996	3	0.999626	10788	30047	40835	0.00178604	0.137087	rs7213460	0.989605	rs189667054	0.98207	0.23843	3.84999e-05	17
TNFRSF9	Asthma	ebi-a-GCST005212	3	0.999626	19954	107715	127669	0.000129371	0.0704574	rs1776354	0.998535	rs845264	0.0831178	0.020942	7.22005e-05	1
TNFSF14	Ulcerative colitis	ebi-a-GCST004133	9	0.999626	12366	33609	45975	-2.59518e-05	0.055317	rs344562	0.999626	rs151025018	-0.4145	0.1047	7.47808e-05	19
